"Step","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX"
"510","0.25","0.25","0.25","0.407","0.407","0.407","0.4","0.4","0.4","0.428","0.428","0.428","0.499","0.499","0.499","0.532","0.532","0.532","0.556","0.556","0.556"
"511","0.159","0.159","0.159","0.388","0.388","0.388","0.39","0.39","0.39","0.444","0.444","0.444","0.523","0.523","0.523","0.54","0.54","0.54","0.558","0.558","0.558"
"512","0.194","0.194","0.194","0.407","0.407","0.407","0.407","0.407","0.407","0.417","0.417","0.417","0.49","0.49","0.49","0.498","0.498","0.498","0.542","0.542","0.542"
"513","0.199","0.199","0.199","0.417","0.417","0.417","0.397","0.397","0.397","0.402","0.402","0.402","0.484","0.484","0.484","0.505","0.505","0.505","0.529","0.529","0.529"
"514","0.206","0.206","0.206","0.387","0.387","0.387","0.368","0.368","0.368","0.456","0.456","0.456","0.492","0.492","0.492","0.488","0.488","0.488","0.554","0.554","0.554"
"515","0.229","0.229","0.229","0.411","0.411","0.411","0.423","0.423","0.423","0.398","0.398","0.398","0.513","0.513","0.513","0.501","0.501","0.501","0.551","0.551","0.551"
"516","0.207","0.207","0.207","0.401","0.401","0.401","0.423","0.423","0.423","0.422","0.422","0.422","0.481","0.481","0.481","0.476","0.476","0.476","0.532","0.532","0.532"
"517","0.236","0.236","0.236","0.4","0.4","0.4","0.399","0.399","0.399","0.417","0.417","0.417","0.491","0.491","0.491","0.517","0.517","0.517","0.53","0.53","0.53"
"518","0.174","0.174","0.174","0.412","0.412","0.412","0.381","0.381","0.381","0.374","0.374","0.374","0.507","0.507","0.507","0.505","0.505","0.505","0.545","0.545","0.545"
"519","0.219","0.219","0.219","0.409","0.409","0.409","0.429","0.429","0.429","0.45","0.45","0.45","0.492","0.492","0.492","0.531","0.531","0.531","0.533","0.533","0.533"
"520","0.243","0.243","0.243","0.44","0.44","0.44","0.398","0.398","0.398","0.414","0.414","0.414","0.53","0.53","0.53","0.502","0.502","0.502","0.532","0.532","0.532"
"521","0.189","0.189","0.189","0.403","0.403","0.403","0.399","0.399","0.399","0.385","0.385","0.385","0.497","0.497","0.497","0.497","0.497","0.497","0.552","0.552","0.552"
"522","0.208","0.208","0.208","0.424","0.424","0.424","0.421","0.421","0.421","0.425","0.425","0.425","0.494","0.494","0.494","0.523","0.523","0.523","0.542","0.542","0.542"
"523","0.187","0.187","0.187","0.411","0.411","0.411","0.379","0.379","0.379","0.387","0.387","0.387","0.495","0.495","0.495","0.512","0.512","0.512","0.537","0.537","0.537"
"524","0.19","0.19","0.19","0.406","0.406","0.406","0.422","0.422","0.422","0.411","0.411","0.411","0.524","0.524","0.524","0.518","0.518","0.518","0.571","0.571","0.571"
"525","0.206","0.206","0.206","0.415","0.415","0.415","0.371","0.371","0.371","0.426","0.426","0.426","0.508","0.508","0.508","0.502","0.502","0.502","0.553","0.553","0.553"
"526","0.277","0.277","0.277","0.392","0.392","0.392","0.371","0.371","0.371","0.398","0.398","0.398","0.486","0.486","0.486","0.456","0.456","0.456","0.524","0.524","0.524"
"527","0.227","0.227","0.227","0.428","0.428","0.428","0.385","0.385","0.385","0.422","0.422","0.422","0.484","0.484","0.484","0.525","0.525","0.525","0.555","0.555","0.555"
"528","0.247","0.247","0.247","0.412","0.412","0.412","0.422","0.422","0.422","0.405","0.405","0.405","0.515","0.515","0.515","0.498","0.498","0.498","0.528","0.528","0.528"
"529","0.263","0.263","0.263","0.439","0.439","0.439","0.419","0.419","0.419","0.412","0.412","0.412","0.503","0.503","0.503","0.498","0.498","0.498","0.513","0.513","0.513"
"530","0.241","0.241","0.241","0.439","0.439","0.439","0.398","0.398","0.398","0.406","0.406","0.406","0.501","0.501","0.501","0.486","0.486","0.486","0.532","0.532","0.532"
"531","0.259","0.259","0.259","0.412","0.412","0.412","0.399","0.399","0.399","0.426","0.426","0.426","0.486","0.486","0.486","0.503","0.503","0.503","0.527","0.527","0.527"
"532","0.174","0.174","0.174","0.409","0.409","0.409","0.411","0.411","0.411","0.435","0.435","0.435","0.48","0.48","0.48","0.487","0.487","0.487","0.543","0.543","0.543"
"533","0.205","0.205","0.205","0.411","0.411","0.411","0.416","0.416","0.416","0.418","0.418","0.418","0.49","0.49","0.49","0.476","0.476","0.476","0.538","0.538","0.538"
"534","0.214","0.214","0.214","0.426","0.426","0.426","0.391","0.391","0.391","0.386","0.386","0.386","0.497","0.497","0.497","0.498","0.498","0.498","0.535","0.535","0.535"
"535","0.232","0.232","0.232","0.448","0.448","0.448","0.38","0.38","0.38","0.445","0.445","0.445","0.514","0.514","0.514","0.531","0.531","0.531","0.557","0.557","0.557"
"536","0.237","0.237","0.237","0.415","0.415","0.415","0.406","0.406","0.406","0.403","0.403","0.403","0.486","0.486","0.486","0.51","0.51","0.51","0.554","0.554","0.554"
"537","0.245","0.245","0.245","0.394","0.394","0.394","0.408","0.408","0.408","0.447","0.447","0.447","0.492","0.492","0.492","0.517","0.517","0.517","0.559","0.559","0.559"
"538","0.176","0.176","0.176","0.397","0.397","0.397","0.403","0.403","0.403","0.412","0.412","0.412","0.468","0.468","0.468","0.488","0.488","0.488","0.546","0.546","0.546"
"539","0.199","0.199","0.199","0.44","0.44","0.44","0.396","0.396","0.396","0.392","0.392","0.392","0.516","0.516","0.516","0.486","0.486","0.486","0.533","0.533","0.533"
"540","0.181","0.181","0.181","0.443","0.443","0.443","0.399","0.399","0.399","0.41","0.41","0.41","0.514","0.514","0.514","0.474","0.474","0.474","0.542","0.542","0.542"
"541","0.236","0.236","0.236","0.386","0.386","0.386","0.399","0.399","0.399","0.395","0.395","0.395","0.473","0.473","0.473","0.512","0.512","0.512","0.544","0.544","0.544"
"542","0.287","0.287","0.287","0.41","0.41","0.41","0.389","0.389","0.389","0.383","0.383","0.383","0.487","0.487","0.487","0.488","0.488","0.488","0.528","0.528","0.528"
"543","0.225","0.225","0.225","0.409","0.409","0.409","0.436","0.436","0.436","0.432","0.432","0.432","0.474","0.474","0.474","0.497","0.497","0.497","0.54","0.54","0.54"
"544","0.212","0.212","0.212","0.436","0.436","0.436","0.398","0.398","0.398","0.404","0.404","0.404","0.487","0.487","0.487","0.496","0.496","0.496","0.544","0.544","0.544"
"545","0.229","0.229","0.229","0.458","0.458","0.458","0.417","0.417","0.417","0.41","0.41","0.41","0.54","0.54","0.54","0.495","0.495","0.495","0.553","0.553","0.553"
"546","0.257","0.257","0.257","0.41","0.41","0.41","0.422","0.422","0.422","0.412","0.412","0.412","0.52","0.52","0.52","0.492","0.492","0.492","0.551","0.551","0.551"
"547","0.261","0.261","0.261","0.424","0.424","0.424","0.415","0.415","0.415","0.424","0.424","0.424","0.511","0.511","0.511","0.502","0.502","0.502","0.529","0.529","0.529"
"548","0.217","0.217","0.217","0.438","0.438","0.438","0.404","0.404","0.404","0.406","0.406","0.406","0.516","0.516","0.516","0.534","0.534","0.534","0.569","0.569","0.569"
"549","0.227","0.227","0.227","0.416","0.416","0.416","0.383","0.383","0.383","0.387","0.387","0.387","0.512","0.512","0.512","0.486","0.486","0.486","0.537","0.537","0.537"
"550","0.22","0.22","0.22","0.439","0.439","0.439","0.437","0.437","0.437","0.381","0.381","0.381","0.497","0.497","0.497","0.503","0.503","0.503","0.558","0.558","0.558"
"551","0.225","0.225","0.225","0.419","0.419","0.419","0.424","0.424","0.424","0.366","0.366","0.366","0.501","0.501","0.501","0.504","0.504","0.504","0.56","0.56","0.56"
"552","0.178","0.178","0.178","0.441","0.441","0.441","0.399","0.399","0.399","0.417","0.417","0.417","0.521","0.521","0.521","0.508","0.508","0.508","0.527","0.527","0.527"
"553","0.233","0.233","0.233","0.405","0.405","0.405","0.418","0.418","0.418","0.427","0.427","0.427","0.51","0.51","0.51","0.502","0.502","0.502","0.551","0.551","0.551"
"554","0.214","0.214","0.214","0.416","0.416","0.416","0.404","0.404","0.404","0.432","0.432","0.432","0.491","0.491","0.491","0.486","0.486","0.486","0.531","0.531","0.531"
"555","0.219","0.219","0.219","0.408","0.408","0.408","0.41","0.41","0.41","0.389","0.389","0.389","0.486","0.486","0.486","0.508","0.508","0.508","0.558","0.558","0.558"
"556","0.203","0.203","0.203","0.406","0.406","0.406","0.427","0.427","0.427","0.379","0.379","0.379","0.498","0.498","0.498","0.518","0.518","0.518","0.534","0.534","0.534"
"557","0.24","0.24","0.24","0.431","0.431","0.431","0.433","0.433","0.433","0.401","0.401","0.401","0.504","0.504","0.504","0.529","0.529","0.529","0.547","0.547","0.547"
"558","0.191","0.191","0.191","0.425","0.425","0.425","0.423","0.423","0.423","0.45","0.45","0.45","0.498","0.498","0.498","0.51","0.51","0.51","0.558","0.558","0.558"
"559","0.251","0.251","0.251","0.433","0.433","0.433","0.398","0.398","0.398","0.372","0.372","0.372","0.495","0.495","0.495","0.513","0.513","0.513","0.567","0.567","0.567"
"560","0.167","0.167","0.167","0.41","0.41","0.41","0.417","0.417","0.417","0.422","0.422","0.422","0.497","0.497","0.497","0.473","0.473","0.473","0.533","0.533","0.533"
"561","0.182","0.182","0.182","0.399","0.399","0.399","0.397","0.397","0.397","0.41","0.41","0.41","0.493","0.493","0.493","0.499","0.499","0.499","0.552","0.552","0.552"
"562","0.271","0.271","0.271","0.426","0.426","0.426","0.397","0.397","0.397","0.402","0.402","0.402","0.487","0.487","0.487","0.493","0.493","0.493","0.53","0.53","0.53"
"563","0.254","0.254","0.254","0.428","0.428","0.428","0.403","0.403","0.403","0.395","0.395","0.395","0.503","0.503","0.503","0.495","0.495","0.495","0.537","0.537","0.537"
"564","0.234","0.234","0.234","0.431","0.431","0.431","0.413","0.413","0.413","0.417","0.417","0.417","0.505","0.505","0.505","0.494","0.494","0.494","0.546","0.546","0.546"
"565","0.218","0.218","0.218","0.404","0.404","0.404","0.419","0.419","0.419","0.373","0.373","0.373","0.483","0.483","0.483","0.471","0.471","0.471","0.551","0.551","0.551"
"566","0.242","0.242","0.242","0.426","0.426","0.426","0.418","0.418","0.418","0.416","0.416","0.416","0.451","0.451","0.451","0.468","0.468","0.468","0.533","0.533","0.533"
"567","0.261","0.261","0.261","0.406","0.406","0.406","0.413","0.413","0.413","0.471","0.471","0.471","0.481","0.481","0.481","0.493","0.493","0.493","0.555","0.555","0.555"
"568","0.213","0.213","0.213","0.427","0.427","0.427","0.414","0.414","0.414","0.391","0.391","0.391","0.494","0.494","0.494","0.501","0.501","0.501","0.551","0.551","0.551"
"569","0.227","0.227","0.227","0.409","0.409","0.409","0.415","0.415","0.415","0.398","0.398","0.398","0.469","0.469","0.469","0.47","0.47","0.47","0.526","0.526","0.526"
"570","0.25","0.25","0.25","0.424","0.424","0.424","0.427","0.427","0.427","0.418","0.418","0.418","0.502","0.502","0.502","0.492","0.492","0.492","0.54","0.54","0.54"
"571","0.233","0.233","0.233","0.418","0.418","0.418","0.409","0.409","0.409","0.382","0.382","0.382","0.494","0.494","0.494","0.477","0.477","0.477","0.548","0.548","0.548"
"572","0.247","0.247","0.247","0.427","0.427","0.427","0.434","0.434","0.434","0.441","0.441","0.441","0.471","0.471","0.471","0.483","0.483","0.483","0.579","0.579","0.579"
"573","0.203","0.203","0.203","0.41","0.41","0.41","0.413","0.413","0.413","0.433","0.433","0.433","0.482","0.482","0.482","0.501","0.501","0.501","0.556","0.556","0.556"
"574","0.238","0.238","0.238","0.407","0.407","0.407","0.415","0.415","0.415","0.425","0.425","0.425","0.475","0.475","0.475","0.498","0.498","0.498","0.523","0.523","0.523"
"575","0.194","0.194","0.194","0.457","0.457","0.457","0.435","0.435","0.435","0.415","0.415","0.415","0.483","0.483","0.483","0.512","0.512","0.512","0.559","0.559","0.559"
"576","0.201","0.201","0.201","0.422","0.422","0.422","0.421","0.421","0.421","0.404","0.404","0.404","0.486","0.486","0.486","0.502","0.502","0.502","0.5739999999999998","0.5739999999999998","0.5739999999999998"
"577","0.259","0.259","0.259","0.428","0.428","0.428","0.41","0.41","0.41","0.428","0.428","0.428","0.476","0.476","0.476","0.463","0.463","0.463","0.541","0.541","0.541"
"578","0.216","0.216","0.216","0.431","0.431","0.431","0.413","0.413","0.413","0.401","0.401","0.401","0.462","0.462","0.462","0.5","0.5","0.5","0.545","0.545","0.545"
"579","0.243","0.243","0.243","0.372","0.372","0.372","0.427","0.427","0.427","0.37","0.37","0.37","0.47","0.47","0.47","0.499","0.499","0.499","0.536","0.536","0.536"
"580","0.196","0.196","0.196","0.421","0.421","0.421","0.46","0.46","0.46","0.412","0.412","0.412","0.486","0.486","0.486","0.477","0.477","0.477","0.545","0.545","0.545"
"581","0.244","0.244","0.244","0.431","0.431","0.431","0.431","0.431","0.431","0.389","0.389","0.389","0.522","0.522","0.522","0.483","0.483","0.483","0.543","0.543","0.543"
"582","0.262","0.262","0.262","0.414","0.414","0.414","0.399","0.399","0.399","0.439","0.439","0.439","0.454","0.454","0.454","0.504","0.504","0.504","0.545","0.545","0.545"
"583","0.277","0.277","0.277","0.453","0.453","0.453","0.414","0.414","0.414","0.429","0.429","0.429","0.482","0.482","0.482","0.484","0.484","0.484","0.541","0.541","0.541"
"584","0.201","0.201","0.201","0.411","0.411","0.411","0.426","0.426","0.426","0.421","0.421","0.421","0.468","0.468","0.468","0.484","0.484","0.484","0.55","0.55","0.55"
"585","0.306","0.306","0.306","0.41","0.41","0.41","0.431","0.431","0.431","0.436","0.436","0.436","0.503","0.503","0.503","0.515","0.515","0.515","0.551","0.551","0.551"
"586","0.274","0.274","0.274","0.411","0.411","0.411","0.419","0.419","0.419","0.398","0.398","0.398","0.486","0.486","0.486","0.505","0.505","0.505","0.557","0.557","0.557"
"587","0.181","0.181","0.181","0.424","0.424","0.424","0.407","0.407","0.407","0.377","0.377","0.377","0.485","0.485","0.485","0.509","0.509","0.509","0.536","0.536","0.536"
"588","0.254","0.254","0.254","0.428","0.428","0.428","0.462","0.462","0.462","0.408","0.408","0.408","0.47","0.47","0.47","0.473","0.473","0.473","0.536","0.536","0.536"
"589","0.254","0.254","0.254","0.43","0.43","0.43","0.431","0.431","0.431","0.402","0.402","0.402","0.468","0.468","0.468","0.477","0.477","0.477","0.538","0.538","0.538"
"590","0.238","0.238","0.238","0.418","0.418","0.418","0.414","0.414","0.414","0.354","0.354","0.354","0.493","0.493","0.493","0.497","0.497","0.497","0.554","0.554","0.554"
"591","0.233","0.233","0.233","0.434","0.434","0.434","0.413","0.413","0.413","0.396","0.396","0.396","0.476","0.476","0.476","0.498","0.498","0.498","0.543","0.543","0.543"
"592","0.207","0.207","0.207","0.446","0.446","0.446","0.428","0.428","0.428","0.433","0.433","0.433","0.501","0.501","0.501","0.491","0.491","0.491","0.543","0.543","0.543"
"593","0.246","0.246","0.246","0.406","0.406","0.406","0.416","0.416","0.416","0.422","0.422","0.422","0.474","0.474","0.474","0.464","0.464","0.464","0.518","0.518","0.518"
"594","0.247","0.247","0.247","0.416","0.416","0.416","0.411","0.411","0.411","0.367","0.367","0.367","0.454","0.454","0.454","0.515","0.515","0.515","0.561","0.561","0.561"
"595","0.251","0.251","0.251","0.441","0.441","0.441","0.436","0.436","0.436","0.392","0.392","0.392","0.507","0.507","0.507","0.489","0.489","0.489","0.538","0.538","0.538"
"596","0.314","0.314","0.314","0.425","0.425","0.425","0.448","0.448","0.448","0.428","0.428","0.428","0.467","0.467","0.467","0.496","0.496","0.496","0.552","0.552","0.552"
"597","0.249","0.249","0.249","0.44","0.44","0.44","0.417","0.417","0.417","0.386","0.386","0.386","0.482","0.482","0.482","0.486","0.486","0.486","0.549","0.549","0.549"
"598","0.284","0.284","0.284","0.468","0.468","0.468","0.433","0.433","0.433","0.432","0.432","0.432","0.503","0.503","0.503","0.493","0.493","0.493","0.529","0.529","0.529"
"599","0.195","0.195","0.195","0.434","0.434","0.434","0.417","0.417","0.417","0.361","0.361","0.361","0.506","0.506","0.506","0.51","0.51","0.51","0.55","0.55","0.55"
"600","0.282","0.282","0.282","0.416","0.416","0.416","0.393","0.393","0.393","0.418","0.418","0.418","0.46","0.46","0.46","0.469","0.469","0.469","0.525","0.525","0.525"
"601","0.276","0.276","0.276","0.425","0.425","0.425","0.414","0.414","0.414","0.346","0.346","0.346","0.477","0.477","0.477","0.503","0.503","0.503","0.522","0.522","0.522"
"602","0.232","0.232","0.232","0.434","0.434","0.434","0.436","0.436","0.436","0.402","0.402","0.402","0.498","0.498","0.498","0.449","0.449","0.449","0.52","0.52","0.52"
"603","0.278","0.278","0.278","0.44","0.44","0.44","0.416","0.416","0.416","0.409","0.409","0.409","0.492","0.492","0.492","0.478","0.478","0.478","0.526","0.526","0.526"
"604","0.266","0.266","0.266","0.421","0.421","0.421","0.414","0.414","0.414","0.457","0.457","0.457","0.473","0.473","0.473","0.502","0.502","0.502","0.558","0.558","0.558"
"605","0.206","0.206","0.206","0.41","0.41","0.41","0.435","0.435","0.435","0.402","0.402","0.402","0.484","0.484","0.484","0.472","0.472","0.472","0.526","0.526","0.526"
"606","0.184","0.184","0.184","0.432","0.432","0.432","0.455","0.455","0.455","0.394","0.394","0.394","0.48","0.48","0.48","0.491","0.491","0.491","0.547","0.547","0.547"
"607","0.233","0.233","0.233","0.422","0.422","0.422","0.429","0.429","0.429","0.415","0.415","0.415","0.486","0.486","0.486","0.468","0.468","0.468","0.538","0.538","0.538"
"608","0.225","0.225","0.225","0.453","0.453","0.453","0.445","0.445","0.445","0.454","0.454","0.454","0.492","0.492","0.492","0.486","0.486","0.486","0.532","0.532","0.532"
"609","0.272","0.272","0.272","0.428","0.428","0.428","0.427","0.427","0.427","0.39","0.39","0.39","0.469","0.469","0.469","0.475","0.475","0.475","0.557","0.557","0.557"
"610","0.238","0.238","0.238","0.456","0.456","0.456","0.45","0.45","0.45","0.419","0.419","0.419","0.509","0.509","0.509","0.477","0.477","0.477","0.545","0.545","0.545"
"611","0.25","0.25","0.25","0.446","0.446","0.446","0.448","0.448","0.448","0.389","0.389","0.389","0.517","0.517","0.517","0.491","0.491","0.491","0.546","0.546","0.546"
"612","0.272","0.272","0.272","0.42","0.42","0.42","0.423","0.423","0.423","0.424","0.424","0.424","0.448","0.448","0.448","0.496","0.496","0.496","0.553","0.553","0.553"
"613","0.262","0.262","0.262","0.421","0.421","0.421","0.429","0.429","0.429","0.399","0.399","0.399","0.494","0.494","0.494","0.508","0.508","0.508","0.553","0.553","0.553"
"614","0.253","0.253","0.253","0.429","0.429","0.429","0.435","0.435","0.435","0.387","0.387","0.387","0.481","0.481","0.481","0.496","0.496","0.496","0.546","0.546","0.546"
"615","0.25","0.25","0.25","0.431","0.431","0.431","0.452","0.452","0.452","0.398","0.398","0.398","0.485","0.485","0.485","0.496","0.496","0.496","0.553","0.553","0.553"
"616","0.262","0.262","0.262","0.461","0.461","0.461","0.435","0.435","0.435","0.38","0.38","0.38","0.494","0.494","0.494","0.505","0.505","0.505","0.531","0.531","0.531"
"617","0.247","0.247","0.247","0.432","0.432","0.432","0.443","0.443","0.443","0.406","0.406","0.406","0.482","0.482","0.482","0.464","0.464","0.464","0.535","0.535","0.535"
"618","0.3","0.3","0.3","0.45","0.45","0.45","0.426","0.426","0.426","0.407","0.407","0.407","0.477","0.477","0.477","0.485","0.485","0.485","0.549","0.549","0.549"
"619","0.266","0.266","0.266","0.411","0.411","0.411","0.427","0.427","0.427","0.399","0.399","0.399","0.449","0.449","0.449","0.503","0.503","0.503","0.565","0.565","0.565"
"620","0.256","0.256","0.256","0.448","0.448","0.448","0.428","0.428","0.428","0.423","0.423","0.423","0.499","0.499","0.499","0.478","0.478","0.478","0.527","0.527","0.527"
"621","0.26","0.26","0.26","0.408","0.408","0.408","0.455","0.455","0.455","0.428","0.428","0.428","0.476","0.476","0.476","0.487","0.487","0.487","0.525","0.525","0.525"
"622","0.275","0.275","0.275","0.437","0.437","0.437","0.445","0.445","0.445","0.428","0.428","0.428","0.484","0.484","0.484","0.476","0.476","0.476","0.551","0.551","0.551"
"623","0.247","0.247","0.247","0.442","0.442","0.442","0.435","0.435","0.435","0.416","0.416","0.416","0.505","0.505","0.505","0.504","0.504","0.504","0.55","0.55","0.55"
"624","0.235","0.235","0.235","0.424","0.424","0.424","0.427","0.427","0.427","0.413","0.413","0.413","0.47","0.47","0.47","0.474","0.474","0.474","0.542","0.542","0.542"
"625","0.25","0.25","0.25","0.434","0.434","0.434","0.433","0.433","0.433","0.385","0.385","0.385","0.48","0.48","0.48","0.472","0.472","0.472","0.518","0.518","0.518"
"626","0.268","0.268","0.268","0.454","0.454","0.454","0.432","0.432","0.432","0.408","0.408","0.408","0.504","0.504","0.504","0.487","0.487","0.487","0.549","0.549","0.549"
"627","0.225","0.225","0.225","0.451","0.451","0.451","0.445","0.445","0.445","0.387","0.387","0.387","0.49","0.49","0.49","0.475","0.475","0.475","0.554","0.554","0.554"
"628","0.259","0.259","0.259","0.444","0.444","0.444","0.439","0.439","0.439","0.391","0.391","0.391","0.493","0.493","0.493","0.501","0.501","0.501","0.554","0.554","0.554"
"629","0.25","0.25","0.25","0.438","0.438","0.438","0.418","0.418","0.418","0.407","0.407","0.407","0.473","0.473","0.473","0.47","0.47","0.47","0.526","0.526","0.526"
"630","0.259","0.259","0.259","0.379","0.379","0.379","0.436","0.436","0.436","0.4","0.4","0.4","0.453","0.453","0.453","0.472","0.472","0.472","0.533","0.533","0.533"
"631","0.278","0.278","0.278","0.438","0.438","0.438","0.421","0.421","0.421","0.416","0.416","0.416","0.485","0.485","0.485","0.484","0.484","0.484","0.536","0.536","0.536"
"632","0.23","0.23","0.23","0.454","0.454","0.454","0.412","0.412","0.412","0.446","0.446","0.446","0.494","0.494","0.494","0.494","0.494","0.494","0.557","0.557","0.557"
"633","0.207","0.207","0.207","0.438","0.438","0.438","0.422","0.422","0.422","0.41","0.41","0.41","0.45","0.45","0.45","0.496","0.496","0.496","0.56","0.56","0.56"
"634","0.304","0.304","0.304","0.436","0.436","0.436","0.434","0.434","0.434","0.382","0.382","0.382","0.491","0.491","0.491","0.478","0.478","0.478","0.545","0.545","0.545"
"635","0.212","0.212","0.212","0.427","0.427","0.427","0.422","0.422","0.422","0.408","0.408","0.408","0.472","0.472","0.472","0.483","0.483","0.483","0.549","0.549","0.549"
"636","0.24","0.24","0.24","0.438","0.438","0.438","0.442","0.442","0.442","0.4","0.4","0.4","0.477","0.477","0.477","0.482","0.482","0.482","0.527","0.527","0.527"
"637","0.28","0.28","0.28","0.447","0.447","0.447","0.413","0.413","0.413","0.416","0.416","0.416","0.476","0.476","0.476","0.475","0.475","0.475","0.54","0.54","0.54"
"638","0.29","0.29","0.29","0.46","0.46","0.46","0.433","0.433","0.433","0.434","0.434","0.434","0.479","0.479","0.479","0.481","0.481","0.481","0.549","0.549","0.549"
"639","0.256","0.256","0.256","0.443","0.443","0.443","0.41","0.41","0.41","0.404","0.404","0.404","0.476","0.476","0.476","0.513","0.513","0.513","0.57","0.57","0.57"
"640","0.292","0.292","0.292","0.42","0.42","0.42","0.437","0.437","0.437","0.4","0.4","0.4","0.469","0.469","0.469","0.451","0.451","0.451","0.548","0.548","0.548"
"641","0.243","0.243","0.243","0.429","0.429","0.429","0.43","0.43","0.43","0.398","0.398","0.398","0.47","0.47","0.47","0.491","0.491","0.491","0.541","0.541","0.541"
"642","0.289","0.289","0.289","0.407","0.407","0.407","0.427","0.427","0.427","0.364","0.364","0.364","0.448","0.448","0.448","0.513","0.513","0.513","0.545","0.545","0.545"
"643","0.257","0.257","0.257","0.427","0.427","0.427","0.439","0.439","0.439","0.457","0.457","0.457","0.481","0.481","0.481","0.485","0.485","0.485","0.541","0.541","0.541"
"644","0.28","0.28","0.28","0.419","0.419","0.419","0.436","0.436","0.436","0.393","0.393","0.393","0.468","0.468","0.468","0.483","0.483","0.483","0.532","0.532","0.532"
"645","0.177","0.177","0.177","0.437","0.437","0.437","0.403","0.403","0.403","0.388","0.388","0.388","0.46","0.46","0.46","0.503","0.503","0.503","0.559","0.559","0.559"
"646","0.251","0.251","0.251","0.417","0.417","0.417","0.45","0.45","0.45","0.424","0.424","0.424","0.47","0.47","0.47","0.476","0.476","0.476","0.528","0.528","0.528"
"647","0.24","0.24","0.24","0.444","0.444","0.444","0.443","0.443","0.443","0.361","0.361","0.361","0.481","0.481","0.481","0.486","0.486","0.486","0.554","0.554","0.554"
"648","0.205","0.205","0.205","0.446","0.446","0.446","0.451","0.451","0.451","0.41","0.41","0.41","0.486","0.486","0.486","0.498","0.498","0.498","0.571","0.571","0.571"
"649","0.264","0.264","0.264","0.421","0.421","0.421","0.414","0.414","0.414","0.444","0.444","0.444","0.477","0.477","0.477","0.48","0.48","0.48","0.531","0.531","0.531"
"650","0.231","0.231","0.231","0.418","0.418","0.418","0.413","0.413","0.413","0.404","0.404","0.404","0.462","0.462","0.462","0.478","0.478","0.478","0.53","0.53","0.53"
"651","0.255","0.255","0.255","0.415","0.415","0.415","0.434","0.434","0.434","0.397","0.397","0.397","0.468","0.468","0.468","0.473","0.473","0.473","0.534","0.534","0.534"
"652","0.2551","0.2551","0.2551","0.436","0.436","0.436","0.443","0.443","0.443","0.374","0.374","0.374","0.456","0.456","0.456","0.493","0.493","0.493","0.528","0.528","0.528"
"653","0.273","0.273","0.273","0.424","0.424","0.424","0.448","0.448","0.448","0.357","0.357","0.357","0.452","0.452","0.452","0.476","0.476","0.476","0.531","0.531","0.531"
"654","0.234","0.234","0.234","0.423","0.423","0.423","0.462","0.462","0.462","0.414","0.414","0.414","0.446","0.446","0.446","0.475","0.475","0.475","0.535","0.535","0.535"
"655","0.268","0.268","0.268","0.429","0.429","0.429","0.442","0.442","0.442","0.402","0.402","0.402","0.486","0.486","0.486","0.483","0.483","0.483","0.538","0.538","0.538"
