"Step","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.0-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.0-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.0-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX"
"474","0.373","0.373","0.373","0.374","0.374","0.374","0.255","0.255","0.255","0.541","0.541","0.541","0.498","0.498","0.498","0.509","0.509","0.509","0.452","0.452","0.452","0.516","0.516","0.516"
"475","0.359","0.359","0.359","0.378","0.378","0.378","0.162","0.162","0.162","0.536","0.536","0.536","0.504","0.504","0.504","0.492","0.492","0.492","0.461","0.461","0.461","0.554","0.554","0.554"
"476","0.37","0.37","0.37","0.391","0.391","0.391","0.207","0.207","0.207","0.553","0.553","0.553","0.518","0.518","0.518","0.5","0.5","0.5","0.42","0.42","0.42","0.556","0.556","0.556"
"477","0.375","0.375","0.375","0.421","0.421","0.421","0.205","0.205","0.205","0.544","0.544","0.544","0.511","0.511","0.511","0.491","0.491","0.491","0.436","0.436","0.436","0.555","0.555","0.555"
"478","0.365","0.365","0.365","0.403","0.403","0.403","0.201","0.201","0.201","0.553","0.553","0.553","0.516","0.516","0.516","0.48","0.48","0.48","0.411","0.411","0.411","0.537","0.537","0.537"
"479","0.401","0.401","0.401","0.407","0.407","0.407","0.217","0.217","0.217","0.546","0.546","0.546","0.49","0.49","0.49","0.499","0.499","0.499","0.423","0.423","0.423","0.563","0.563","0.563"
"480","0.383","0.383","0.383","0.392","0.392","0.392","0.153","0.153","0.153","0.55","0.55","0.55","0.516","0.516","0.516","0.498","0.498","0.498","0.371","0.371","0.371","0.546","0.546","0.546"
"481","0.389","0.389","0.389","0.399","0.399","0.399","0.187","0.187","0.187","0.549","0.549","0.549","0.518","0.518","0.518","0.516","0.516","0.516","0.448","0.448","0.448","0.523","0.523","0.523"
"482","0.353","0.353","0.353","0.404","0.404","0.404","0.171","0.171","0.171","0.528","0.528","0.528","0.524","0.524","0.524","0.53","0.53","0.53","0.446","0.446","0.446","0.561","0.561","0.561"
"483","0.376","0.376","0.376","0.41","0.41","0.41","0.176","0.176","0.176","0.557","0.557","0.557","0.518","0.518","0.518","0.512","0.512","0.512","0.451","0.451","0.451","0.558","0.558","0.558"
"484","0.396","0.396","0.396","0.403","0.403","0.403","0.252","0.252","0.252","0.537","0.537","0.537","0.502","0.502","0.502","0.525","0.525","0.525","0.403","0.403","0.403","0.539","0.539","0.539"
"485","0.365","0.365","0.365","0.403","0.403","0.403","0.18","0.18","0.18","0.531","0.531","0.531","0.485","0.485","0.485","0.523","0.523","0.523","0.384","0.384","0.384","0.578","0.578","0.578"
"486","0.407","0.407","0.407","0.402","0.402","0.402","0.226","0.226","0.226","0.523","0.523","0.523","0.47","0.47","0.47","0.52","0.52","0.52","0.402","0.402","0.402","0.513","0.513","0.513"
"487","0.405","0.405","0.405","0.407","0.407","0.407","0.245","0.245","0.245","0.582","0.582","0.582","0.522","0.522","0.522","0.519","0.519","0.519","0.432","0.432","0.432","0.548","0.548","0.548"
"488","0.391","0.391","0.391","0.4","0.4","0.4","0.173","0.173","0.173","0.561","0.561","0.561","0.504","0.504","0.504","0.502","0.502","0.502","0.418","0.418","0.418","0.529","0.529","0.529"
"489","0.363","0.363","0.363","0.389","0.389","0.389","0.22","0.22","0.22","0.531","0.531","0.531","0.496","0.496","0.496","0.521","0.521","0.521","0.413","0.413","0.413","0.556","0.556","0.556"
"490","0.388","0.388","0.388","0.425","0.425","0.425","0.236","0.236","0.236","0.522","0.522","0.522","0.497","0.497","0.497","0.501","0.501","0.501","0.42","0.42","0.42","0.535","0.535","0.535"
"491","0.408","0.408","0.408","0.414","0.414","0.414","0.256","0.256","0.256","0.549","0.549","0.549","0.522","0.522","0.522","0.505","0.505","0.505","0.452","0.452","0.452","0.541","0.541","0.541"
"492","0.399","0.399","0.399","0.391","0.391","0.391","0.234","0.234","0.234","0.528","0.528","0.528","0.522","0.522","0.522","0.514","0.514","0.514","0.416","0.416","0.416","0.561","0.561","0.561"
"493","0.415","0.415","0.415","0.373","0.373","0.373","0.213","0.213","0.213","0.554","0.554","0.554","0.53","0.53","0.53","0.482","0.482","0.482","0.425","0.425","0.425","0.543","0.543","0.543"
"494","0.406","0.406","0.406","0.423","0.423","0.423","0.213","0.213","0.213","0.565","0.565","0.565","0.512","0.512","0.512","0.499","0.499","0.499","0.455","0.455","0.455","0.573","0.573","0.573"
"495","0.412","0.412","0.412","0.407","0.407","0.407","0.194","0.194","0.194","0.536","0.536","0.536","0.479","0.479","0.479","0.496","0.496","0.496","0.432","0.432","0.432","0.56","0.56","0.56"
"496","0.389","0.389","0.389","0.416","0.416","0.416","0.158","0.158","0.158","0.545","0.545","0.545","0.478","0.478","0.478","0.495","0.495","0.495","0.446","0.446","0.446","0.554","0.554","0.554"
"497","0.369","0.369","0.369","0.38","0.38","0.38","0.235","0.235","0.235","0.531","0.531","0.531","0.515","0.515","0.515","0.488","0.488","0.488","0.4","0.4","0.4","0.528","0.528","0.528"
"498","0.378","0.378","0.378","0.414","0.414","0.414","0.207","0.207","0.207","0.537","0.537","0.537","0.506","0.506","0.506","0.497","0.497","0.497","0.423","0.423","0.423","0.537","0.537","0.537"
"499","0.387","0.387","0.387","0.417","0.417","0.417","0.226","0.226","0.226","0.539","0.539","0.539","0.491","0.491","0.491","0.533","0.533","0.533","0.429","0.429","0.429","0.552","0.552","0.552"
"500","0.401","0.401","0.401","0.408","0.408","0.408","0.209","0.209","0.209","0.519","0.519","0.519","0.507","0.507","0.507","0.512","0.512","0.512","0.418","0.418","0.418","0.518","0.518","0.518"
"501","0.406","0.406","0.406","0.422","0.422","0.422","0.171","0.171","0.171","0.552","0.552","0.552","0.505","0.505","0.505","0.508","0.508","0.508","0.398","0.398","0.398","0.531","0.531","0.531"
"502","0.404","0.404","0.404","0.417","0.417","0.417","0.252","0.252","0.252","0.532","0.532","0.532","0.489","0.489","0.489","0.509","0.509","0.509","0.338","0.338","0.338","0.542","0.542","0.542"
"503","0.398","0.398","0.398","0.405","0.405","0.405","0.23","0.23","0.23","0.554","0.554","0.554","0.513","0.513","0.513","0.48","0.48","0.48","0.423","0.423","0.423","0.543","0.543","0.543"
"504","0.378","0.378","0.378","0.415","0.415","0.415","0.197","0.197","0.197","0.552","0.552","0.552","0.505","0.505","0.505","0.514","0.514","0.514","0.403","0.403","0.403","0.528","0.528","0.528"
"505","0.414","0.414","0.414","0.396","0.396","0.396","0.164","0.164","0.164","0.529","0.529","0.529","0.48","0.48","0.48","0.501","0.501","0.501","0.457","0.457","0.457","0.524","0.524","0.524"
"506","0.39","0.39","0.39","0.424","0.424","0.424","0.26","0.26","0.26","0.543","0.543","0.543","0.483","0.483","0.483","0.518","0.518","0.518","0.397","0.397","0.397","0.546","0.546","0.546"
"507","0.396","0.396","0.396","0.411","0.411","0.411","0.232","0.232","0.232","0.525","0.525","0.525","0.479","0.479","0.479","0.493","0.493","0.493","0.431","0.431","0.431","0.527","0.527","0.527"
"508","0.392","0.392","0.392","0.419","0.419","0.419","0.249","0.249","0.249","0.543","0.543","0.543","0.482","0.482","0.482","0.494","0.494","0.494","0.41","0.41","0.41","0.568","0.568","0.568"
"509","0.386","0.386","0.386","0.421","0.421","0.421","0.217","0.217","0.217","0.561","0.561","0.561","0.486","0.486","0.486","0.525","0.525","0.525","0.45","0.45","0.45","0.536","0.536","0.536"
"510","0.4","0.4","0.4","0.407","0.407","0.407","0.25","0.25","0.25","0.556","0.556","0.556","0.532","0.532","0.532","0.499","0.499","0.499","0.428","0.428","0.428","0.539","0.539","0.539"
"511","0.39","0.39","0.39","0.388","0.388","0.388","0.159","0.159","0.159","0.558","0.558","0.558","0.54","0.54","0.54","0.523","0.523","0.523","0.444","0.444","0.444","0.517","0.517","0.517"
"512","0.407","0.407","0.407","0.407","0.407","0.407","0.194","0.194","0.194","0.542","0.542","0.542","0.498","0.498","0.498","0.49","0.49","0.49","0.417","0.417","0.417","0.537","0.537","0.537"
"513","0.397","0.397","0.397","0.417","0.417","0.417","0.199","0.199","0.199","0.529","0.529","0.529","0.505","0.505","0.505","0.484","0.484","0.484","0.402","0.402","0.402","0.529","0.529","0.529"
"514","0.368","0.368","0.368","0.387","0.387","0.387","0.206","0.206","0.206","0.554","0.554","0.554","0.488","0.488","0.488","0.492","0.492","0.492","0.456","0.456","0.456","0.543","0.543","0.543"
"515","0.423","0.423","0.423","0.411","0.411","0.411","0.229","0.229","0.229","0.551","0.551","0.551","0.501","0.501","0.501","0.513","0.513","0.513","0.398","0.398","0.398","0.526","0.526","0.526"
"516","0.423","0.423","0.423","0.401","0.401","0.401","0.207","0.207","0.207","0.532","0.532","0.532","0.476","0.476","0.476","0.481","0.481","0.481","0.422","0.422","0.422","0.569","0.569","0.569"
"517","0.399","0.399","0.399","0.4","0.4","0.4","0.236","0.236","0.236","0.53","0.53","0.53","0.517","0.517","0.517","0.491","0.491","0.491","0.417","0.417","0.417","0.53","0.53","0.53"
"518","0.381","0.381","0.381","0.412","0.412","0.412","0.174","0.174","0.174","0.545","0.545","0.545","0.505","0.505","0.505","0.507","0.507","0.507","0.374","0.374","0.374","0.544","0.544","0.544"
"519","0.429","0.429","0.429","0.409","0.409","0.409","0.219","0.219","0.219","0.533","0.533","0.533","0.531","0.531","0.531","0.492","0.492","0.492","0.45","0.45","0.45","0.538","0.538","0.538"
"520","0.398","0.398","0.398","0.44","0.44","0.44","0.243","0.243","0.243","0.532","0.532","0.532","0.502","0.502","0.502","0.53","0.53","0.53","0.414","0.414","0.414","0.538","0.538","0.538"
"521","0.399","0.399","0.399","0.403","0.403","0.403","0.189","0.189","0.189","0.552","0.552","0.552","0.497","0.497","0.497","0.497","0.497","0.497","0.385","0.385","0.385","0.544","0.544","0.544"
"522","0.421","0.421","0.421","0.424","0.424","0.424","0.208","0.208","0.208","0.542","0.542","0.542","0.523","0.523","0.523","0.494","0.494","0.494","0.425","0.425","0.425","0.549","0.549","0.549"
"523","0.379","0.379","0.379","0.411","0.411","0.411","0.187","0.187","0.187","0.537","0.537","0.537","0.512","0.512","0.512","0.495","0.495","0.495","0.387","0.387","0.387","0.545","0.545","0.545"
"524","0.422","0.422","0.422","0.406","0.406","0.406","0.19","0.19","0.19","0.571","0.571","0.571","0.518","0.518","0.518","0.524","0.524","0.524","0.411","0.411","0.411","0.547","0.547","0.547"
"525","0.371","0.371","0.371","0.415","0.415","0.415","0.206","0.206","0.206","0.553","0.553","0.553","0.502","0.502","0.502","0.508","0.508","0.508","0.426","0.426","0.426","0.548","0.548","0.548"
"526","0.371","0.371","0.371","0.392","0.392","0.392","0.277","0.277","0.277","0.524","0.524","0.524","0.456","0.456","0.456","0.486","0.486","0.486","0.398","0.398","0.398","0.542","0.542","0.542"
"527","0.385","0.385","0.385","0.428","0.428","0.428","0.227","0.227","0.227","0.555","0.555","0.555","0.525","0.525","0.525","0.484","0.484","0.484","0.422","0.422","0.422","0.532","0.532","0.532"
"528","0.422","0.422","0.422","0.412","0.412","0.412","0.247","0.247","0.247","0.528","0.528","0.528","0.498","0.498","0.498","0.515","0.515","0.515","0.405","0.405","0.405","0.523","0.523","0.523"
"529","0.419","0.419","0.419","0.439","0.439","0.439","0.263","0.263","0.263","0.513","0.513","0.513","0.498","0.498","0.498","0.503","0.503","0.503","0.412","0.412","0.412","0.517","0.517","0.517"
"530","0.398","0.398","0.398","0.439","0.439","0.439","0.241","0.241","0.241","0.532","0.532","0.532","0.486","0.486","0.486","0.501","0.501","0.501","0.406","0.406","0.406","0.514","0.514","0.514"
"531","0.399","0.399","0.399","0.412","0.412","0.412","0.259","0.259","0.259","0.527","0.527","0.527","0.503","0.503","0.503","0.486","0.486","0.486","0.426","0.426","0.426","0.566","0.566","0.566"
"532","0.411","0.411","0.411","0.409","0.409","0.409","0.174","0.174","0.174","0.543","0.543","0.543","0.487","0.487","0.487","0.48","0.48","0.48","0.435","0.435","0.435","0.515","0.515","0.515"
"533","0.416","0.416","0.416","0.411","0.411","0.411","0.205","0.205","0.205","0.538","0.538","0.538","0.476","0.476","0.476","0.49","0.49","0.49","0.418","0.418","0.418","0.534","0.534","0.534"
"534","0.391","0.391","0.391","0.426","0.426","0.426","0.214","0.214","0.214","0.535","0.535","0.535","0.498","0.498","0.498","0.497","0.497","0.497","0.386","0.386","0.386","0.545","0.545","0.545"
"535","0.38","0.38","0.38","0.448","0.448","0.448","0.232","0.232","0.232","0.557","0.557","0.557","0.531","0.531","0.531","0.514","0.514","0.514","0.445","0.445","0.445","0.536","0.536","0.536"
"536","0.406","0.406","0.406","0.415","0.415","0.415","0.237","0.237","0.237","0.554","0.554","0.554","0.51","0.51","0.51","0.486","0.486","0.486","0.403","0.403","0.403","0.525","0.525","0.525"
"537","0.408","0.408","0.408","0.394","0.394","0.394","0.245","0.245","0.245","0.559","0.559","0.559","0.517","0.517","0.517","0.492","0.492","0.492","0.447","0.447","0.447","0.56","0.56","0.56"
"538","0.403","0.403","0.403","0.397","0.397","0.397","0.176","0.176","0.176","0.546","0.546","0.546","0.488","0.488","0.488","0.468","0.468","0.468","0.412","0.412","0.412","0.537","0.537","0.537"
"539","0.396","0.396","0.396","0.44","0.44","0.44","0.199","0.199","0.199","0.533","0.533","0.533","0.486","0.486","0.486","0.516","0.516","0.516","0.392","0.392","0.392","0.53","0.53","0.53"
"540","0.399","0.399","0.399","0.443","0.443","0.443","0.181","0.181","0.181","0.542","0.542","0.542","0.474","0.474","0.474","0.514","0.514","0.514","0.41","0.41","0.41","0.526","0.526","0.526"
"541","0.399","0.399","0.399","0.386","0.386","0.386","0.236","0.236","0.236","0.544","0.544","0.544","0.512","0.512","0.512","0.473","0.473","0.473","0.395","0.395","0.395","0.555","0.555","0.555"
"542","0.389","0.389","0.389","0.41","0.41","0.41","0.287","0.287","0.287","0.528","0.528","0.528","0.488","0.488","0.488","0.487","0.487","0.487","0.383","0.383","0.383","0.537","0.537","0.537"
"543","0.436","0.436","0.436","0.409","0.409","0.409","0.225","0.225","0.225","0.54","0.54","0.54","0.497","0.497","0.497","0.474","0.474","0.474","0.432","0.432","0.432","0.513","0.513","0.513"
"544","0.398","0.398","0.398","0.436","0.436","0.436","0.212","0.212","0.212","0.544","0.544","0.544","0.496","0.496","0.496","0.487","0.487","0.487","0.404","0.404","0.404","0.55","0.55","0.55"
"545","0.417","0.417","0.417","0.458","0.458","0.458","0.229","0.229","0.229","0.553","0.553","0.553","0.495","0.495","0.495","0.54","0.54","0.54","0.41","0.41","0.41","0.547","0.547","0.547"
"546","0.422","0.422","0.422","0.41","0.41","0.41","0.257","0.257","0.257","0.551","0.551","0.551","0.492","0.492","0.492","0.52","0.52","0.52","0.412","0.412","0.412","0.534","0.534","0.534"
"547","0.415","0.415","0.415","0.424","0.424","0.424","0.261","0.261","0.261","0.529","0.529","0.529","0.502","0.502","0.502","0.511","0.511","0.511","0.424","0.424","0.424","0.526","0.526","0.526"
"548","0.404","0.404","0.404","0.438","0.438","0.438","0.217","0.217","0.217","0.569","0.569","0.569","0.534","0.534","0.534","0.516","0.516","0.516","0.406","0.406","0.406","0.522","0.522","0.522"
"549","0.383","0.383","0.383","0.416","0.416","0.416","0.227","0.227","0.227","0.537","0.537","0.537","0.486","0.486","0.486","0.512","0.512","0.512","0.387","0.387","0.387","0.569","0.569","0.569"
"550","0.437","0.437","0.437","0.439","0.439","0.439","0.22","0.22","0.22","0.558","0.558","0.558","0.503","0.503","0.503","0.497","0.497","0.497","0.381","0.381","0.381","0.557","0.557","0.557"
"551","0.424","0.424","0.424","0.419","0.419","0.419","0.225","0.225","0.225","0.56","0.56","0.56","0.504","0.504","0.504","0.501","0.501","0.501","0.366","0.366","0.366","0.562","0.562","0.562"
"552","0.399","0.399","0.399","0.441","0.441","0.441","0.178","0.178","0.178","0.527","0.527","0.527","0.508","0.508","0.508","0.521","0.521","0.521","0.417","0.417","0.417","0.549","0.549","0.549"
"553","0.418","0.418","0.418","0.405","0.405","0.405","0.233","0.233","0.233","0.551","0.551","0.551","0.502","0.502","0.502","0.51","0.51","0.51","0.427","0.427","0.427","0.535","0.535","0.535"
"554","0.404","0.404","0.404","0.416","0.416","0.416","0.214","0.214","0.214","0.531","0.531","0.531","0.486","0.486","0.486","0.491","0.491","0.491","0.432","0.432","0.432","0.535","0.535","0.535"
"555","0.41","0.41","0.41","0.408","0.408","0.408","0.219","0.219","0.219","0.558","0.558","0.558","0.508","0.508","0.508","0.486","0.486","0.486","0.389","0.389","0.389","0.531","0.531","0.531"
"556","0.427","0.427","0.427","0.406","0.406","0.406","0.203","0.203","0.203","0.534","0.534","0.534","0.518","0.518","0.518","0.498","0.498","0.498","0.379","0.379","0.379","0.565","0.565","0.565"
"557","0.433","0.433","0.433","0.431","0.431","0.431","0.24","0.24","0.24","0.547","0.547","0.547","0.529","0.529","0.529","0.504","0.504","0.504","0.401","0.401","0.401","0.564","0.564","0.564"
"558","0.423","0.423","0.423","0.425","0.425","0.425","0.191","0.191","0.191","0.558","0.558","0.558","0.51","0.51","0.51","0.498","0.498","0.498","0.45","0.45","0.45","0.523","0.523","0.523"
"559","0.398","0.398","0.398","0.433","0.433","0.433","0.251","0.251","0.251","0.567","0.567","0.567","0.513","0.513","0.513","0.495","0.495","0.495","0.372","0.372","0.372","0.538","0.538","0.538"
"560","0.417","0.417","0.417","0.41","0.41","0.41","0.167","0.167","0.167","0.533","0.533","0.533","0.473","0.473","0.473","0.497","0.497","0.497","0.422","0.422","0.422","0.553","0.553","0.553"
"561","0.397","0.397","0.397","0.399","0.399","0.399","0.182","0.182","0.182","0.552","0.552","0.552","0.499","0.499","0.499","0.493","0.493","0.493","0.41","0.41","0.41","0.554","0.554","0.554"
"562","0.397","0.397","0.397","0.426","0.426","0.426","0.271","0.271","0.271","0.53","0.53","0.53","0.493","0.493","0.493","0.487","0.487","0.487","0.402","0.402","0.402","0.539","0.539","0.539"
"563","0.403","0.403","0.403","0.428","0.428","0.428","0.254","0.254","0.254","0.537","0.537","0.537","0.495","0.495","0.495","0.503","0.503","0.503","0.395","0.395","0.395","0.538","0.538","0.538"
"564","0.413","0.413","0.413","0.431","0.431","0.431","0.234","0.234","0.234","0.546","0.546","0.546","0.494","0.494","0.494","0.505","0.505","0.505","0.417","0.417","0.417","0.544","0.544","0.544"
"565","0.419","0.419","0.419","0.404","0.404","0.404","0.218","0.218","0.218","0.551","0.551","0.551","0.471","0.471","0.471","0.483","0.483","0.483","0.373","0.373","0.373","0.553","0.553","0.553"
"566","0.418","0.418","0.418","0.426","0.426","0.426","0.242","0.242","0.242","0.533","0.533","0.533","0.468","0.468","0.468","0.451","0.451","0.451","0.416","0.416","0.416","0.54","0.54","0.54"
"567","0.413","0.413","0.413","0.406","0.406","0.406","0.261","0.261","0.261","0.555","0.555","0.555","0.493","0.493","0.493","0.481","0.481","0.481","0.471","0.471","0.471","0.523","0.523","0.523"
"568","0.414","0.414","0.414","0.427","0.427","0.427","0.213","0.213","0.213","0.551","0.551","0.551","0.501","0.501","0.501","0.494","0.494","0.494","0.391","0.391","0.391","0.538","0.538","0.538"
"569","0.415","0.415","0.415","0.409","0.409","0.409","0.227","0.227","0.227","0.526","0.526","0.526","0.47","0.47","0.47","0.469","0.469","0.469","0.398","0.398","0.398","0.549","0.549","0.549"
"570","0.427","0.427","0.427","0.424","0.424","0.424","0.25","0.25","0.25","0.54","0.54","0.54","0.492","0.492","0.492","0.502","0.502","0.502","0.418","0.418","0.418","0.556","0.556","0.556"
"571","0.409","0.409","0.409","0.418","0.418","0.418","0.233","0.233","0.233","0.548","0.548","0.548","0.477","0.477","0.477","0.494","0.494","0.494","0.382","0.382","0.382","0.522","0.522","0.522"
"572","0.434","0.434","0.434","0.427","0.427","0.427","0.247","0.247","0.247","0.579","0.579","0.579","0.483","0.483","0.483","0.471","0.471","0.471","0.441","0.441","0.441","0.546","0.546","0.546"
"573","0.413","0.413","0.413","0.41","0.41","0.41","0.203","0.203","0.203","0.556","0.556","0.556","0.501","0.501","0.501","0.482","0.482","0.482","0.433","0.433","0.433","0.527","0.527","0.527"
"574","0.415","0.415","0.415","0.407","0.407","0.407","0.238","0.238","0.238","0.523","0.523","0.523","0.498","0.498","0.498","0.475","0.475","0.475","0.425","0.425","0.425","0.552","0.552","0.552"
"575","0.435","0.435","0.435","0.457","0.457","0.457","0.194","0.194","0.194","0.559","0.559","0.559","0.512","0.512","0.512","0.483","0.483","0.483","0.415","0.415","0.415","0.541","0.541","0.541"
"576","0.421","0.421","0.421","0.422","0.422","0.422","0.201","0.201","0.201","0.5739999999999998","0.5739999999999998","0.5739999999999998","0.502","0.502","0.502","0.486","0.486","0.486","0.404","0.404","0.404","0.554","0.554","0.554"
"577","0.41","0.41","0.41","0.428","0.428","0.428","0.259","0.259","0.259","0.541","0.541","0.541","0.463","0.463","0.463","0.476","0.476","0.476","0.428","0.428","0.428","0.566","0.566","0.566"
"578","0.413","0.413","0.413","0.431","0.431","0.431","0.216","0.216","0.216","0.545","0.545","0.545","0.5","0.5","0.5","0.462","0.462","0.462","0.401","0.401","0.401","0.549","0.549","0.549"
"579","0.427","0.427","0.427","0.372","0.372","0.372","0.243","0.243","0.243","0.536","0.536","0.536","0.499","0.499","0.499","0.47","0.47","0.47","0.37","0.37","0.37","0.54","0.54","0.54"
"580","0.46","0.46","0.46","0.421","0.421","0.421","0.196","0.196","0.196","0.545","0.545","0.545","0.477","0.477","0.477","0.486","0.486","0.486","0.412","0.412","0.412","0.555","0.555","0.555"
"581","0.431","0.431","0.431","0.431","0.431","0.431","0.244","0.244","0.244","0.543","0.543","0.543","0.483","0.483","0.483","0.522","0.522","0.522","0.389","0.389","0.389","0.532","0.532","0.532"
"582","0.399","0.399","0.399","0.414","0.414","0.414","0.262","0.262","0.262","0.545","0.545","0.545","0.504","0.504","0.504","0.454","0.454","0.454","0.439","0.439","0.439","0.541","0.541","0.541"
"583","0.414","0.414","0.414","0.453","0.453","0.453","0.277","0.277","0.277","0.541","0.541","0.541","0.484","0.484","0.484","0.482","0.482","0.482","0.429","0.429","0.429","0.525","0.525","0.525"
"584","0.426","0.426","0.426","0.411","0.411","0.411","0.201","0.201","0.201","0.55","0.55","0.55","0.484","0.484","0.484","0.468","0.468","0.468","0.421","0.421","0.421","0.54","0.54","0.54"
"585","0.431","0.431","0.431","0.41","0.41","0.41","0.306","0.306","0.306","0.551","0.551","0.551","0.515","0.515","0.515","0.503","0.503","0.503","0.436","0.436","0.436","0.542","0.542","0.542"
"586","0.419","0.419","0.419","0.411","0.411","0.411","0.274","0.274","0.274","0.557","0.557","0.557","0.505","0.505","0.505","0.486","0.486","0.486","0.398","0.398","0.398","0.519","0.519","0.519"
"587","0.407","0.407","0.407","0.424","0.424","0.424","0.181","0.181","0.181","0.536","0.536","0.536","0.509","0.509","0.509","0.485","0.485","0.485","0.377","0.377","0.377","0.552","0.552","0.552"
"588","0.462","0.462","0.462","0.428","0.428","0.428","0.254","0.254","0.254","0.536","0.536","0.536","0.473","0.473","0.473","0.47","0.47","0.47","0.408","0.408","0.408","0.543","0.543","0.543"
"589","0.431","0.431","0.431","0.43","0.43","0.43","0.254","0.254","0.254","0.538","0.538","0.538","0.477","0.477","0.477","0.468","0.468","0.468","0.402","0.402","0.402","0.535","0.535","0.535"
"590","0.414","0.414","0.414","0.418","0.418","0.418","0.238","0.238","0.238","0.554","0.554","0.554","0.497","0.497","0.497","0.493","0.493","0.493","0.354","0.354","0.354","0.535","0.535","0.535"
"591","0.413","0.413","0.413","0.434","0.434","0.434","0.233","0.233","0.233","0.543","0.543","0.543","0.498","0.498","0.498","0.476","0.476","0.476","0.396","0.396","0.396","0.591","0.591","0.591"
"592","0.428","0.428","0.428","0.446","0.446","0.446","0.207","0.207","0.207","0.543","0.543","0.543","0.491","0.491","0.491","0.501","0.501","0.501","0.433","0.433","0.433","0.556","0.556","0.556"
"593","0.416","0.416","0.416","0.406","0.406","0.406","0.246","0.246","0.246","0.518","0.518","0.518","0.464","0.464","0.464","0.474","0.474","0.474","0.422","0.422","0.422","0.565","0.565","0.565"
"594","0.411","0.411","0.411","0.416","0.416","0.416","0.247","0.247","0.247","0.561","0.561","0.561","0.515","0.515","0.515","0.454","0.454","0.454","0.367","0.367","0.367","0.54","0.54","0.54"
"595","0.436","0.436","0.436","0.441","0.441","0.441","0.251","0.251","0.251","0.538","0.538","0.538","0.489","0.489","0.489","0.507","0.507","0.507","0.392","0.392","0.392","0.519","0.519","0.519"
"596","0.448","0.448","0.448","0.425","0.425","0.425","0.314","0.314","0.314","0.552","0.552","0.552","0.496","0.496","0.496","0.467","0.467","0.467","0.428","0.428","0.428","0.568","0.568","0.568"
"597","0.417","0.417","0.417","0.44","0.44","0.44","0.249","0.249","0.249","0.549","0.549","0.549","0.486","0.486","0.486","0.482","0.482","0.482","0.386","0.386","0.386","0.54","0.54","0.54"
"598","0.433","0.433","0.433","0.468","0.468","0.468","0.284","0.284","0.284","0.529","0.529","0.529","0.493","0.493","0.493","0.503","0.503","0.503","0.432","0.432","0.432","0.55","0.55","0.55"
"599","0.417","0.417","0.417","0.434","0.434","0.434","0.195","0.195","0.195","0.55","0.55","0.55","0.51","0.51","0.51","0.506","0.506","0.506","0.361","0.361","0.361","0.53","0.53","0.53"
"600","0.393","0.393","0.393","0.416","0.416","0.416","0.282","0.282","0.282","0.525","0.525","0.525","0.469","0.469","0.469","0.46","0.46","0.46","0.418","0.418","0.418","0.541","0.541","0.541"
